Course Name,Course Code,Lecture Time,Tutorial Time,Lab Time,Credit
Foundation Programme,FP 100,,,,4
Engineering Graphics,ES 101,E1,,,3
Computing,ES 112,"F1,F2",,"P1,P2",3
"Design, Innovation, and Prototyping",ES 115,A1,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2",5
Materials for the Future,ES 118,E2,,"I1,J1,I2,K2,J2,P2",3
Introduction to Writing I,HS 191,H2,,"G1,G2 (7/101,7/210,7/103,7/104,7/105,7/106,7/110,7/201,7/204,7/205,7/206,7/207,7/102,7/107)",2
Calculus of Single Variable and Linear Algebra,MA 103,"B1,B2",H1,,4
World Civilizations and Cultures,HS 201,"D1,D2",,,4
Physical Education,PE 101,,,,0
Comprehensive Viva Voce,IN 101,,,,0
Biology for Engineers,ES 243,"G1,G2",H1,,4
General Education II,GE 201,"P1,P2",,,2
Introduction to Quantum Physics,PH 202,"B1,B2",K1,,4
Introduction to Partial Differential Equations (Second Half),MA 204,"C1,C2",M1,,2
Calculus of Several Variables (First Half),MA 205,"A1,A2",F2,,2
Introduction to Complex Analysis (Second Half),MA 206,"A1,A2",F2,,2
Introduction to Philosophy,HS 221,"D1,D2",,,4
Thermodynamics,ES 211,"E1,E2",E2,,3
Materials Thermodynamics,MSE 202,"J1,J2",H2,,4
Electronic Devices,EE 221,"I1,I2",I1,,3
Earth Materials and Processes,CE 201,B1,,"I1,K1",2
Chemical Process Calculations,CL 201,"C1,C2",,,3
Data Structures and Algorithms I,ES 242,"N1,N2",,H2,4
"Signals, Systems, and Random Processes",ES 244,"E1,E2",F1,,4
Mechanics of Solids,ES 221,"E1,E2",F1,,4
Discrete Mathematics,ES 214,"E1,E2",F1,,4
Geospatial Engineering,CE 203,H2,,"J1,L1",3
Electrical Machines,EE 223,"B1,B2",,"J1,L1,J2,M2",4
Structure of Materials,MSE 207,"E1,E2",F1,,4
Transport Phenomena in Materials Engineering,MSE 204,"B1,B2",L2,,4
Statics & Dynamics,ME 206,"C1,C2",H2,J1,4
Physical Education,PE 103,,,,0
Comprehensive Viva Voce,IN 103,,,,0
Economics,HS 151,"C1,C2",,N1,4
Undergraduate Science Laboratory,BS 192,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2",3
Chemical Reaction Engineering-II,CL 313,"E1,E2",,,3
Separation Processes -I,CL 314,"D1,D2",,,3
Process Dynamics and Control,CL 315,"F1,F2",,,3
Integrated Chemical Engineering Lab-I,CL 326,,,"I1,K1,H1",3
HSS Elective,HS XXX,,,,4
Comprehensive Viva Voce,IN 105,,,,0
Process Synthesis and Design,CL 425,"E1,E2",F1,,4
Process Dynamics and Control Lab,CL 451,,,"J1,L1",2
HS Elective,HS XXX,,,,0
Comprehensive Viva Voce,IN 107,,,,0
Economics,HS 151,"C1,C2",,N1,4
Undergraduate Science Laboratory,BS 192,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2",3
Soil Mechanics,CE 301,"E1,E2",H1,"I1,K1",5
Design of Steel Structures,CE 312,"F1,F2",G1,,4
Water Resource Engineering,CE 308,"A1,A2",,"K2,L2",4
Transportation Engineering,CE 404,"D1,D2",,,4
HSS Elective,HS XXX,,,,4
Comprehensive Viva Voce,IN 107,,,,0
Comprehensive Project - 1,CE 401,,,"K2,L2",4
HSS Elective,HS XXX,,,,0
Comprehensive Viva Voce,IN 107,,,,0
Economics,HS 151,"C1,C2",,N1,4
Undergraduate Science Laboratory,BS 192,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2",3
Software Tools & Techniques,CS 202,E1,,"I1,K1",4
Computer Organization and Architecture,ES 215,"B1,B2",H1,,4
Foundations of AI: Multiagent Systems,CS 329,"F1,F2",,,4
HSS Elective,HS 3XX,,,,4
Comprehensive Viva Voce,IN 105,,,,0
HSS Elective,HS 3XX,,,,0
Comprehensive Viva Voce,IN 107,,,,0
Economics,HS 151,"C1,C2",,N1,4
Undergraduate Science Laboratory,BS 192,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2",3
Engineering Electromagnetics,EE 312,"D1,D2",H1,,4
Analog & Mixed Signal Circuits,EE 322,"B1,B2",,"J1,L1",4
Digital Signal Processing,EE 323,"E1,E2",A1,,4
Power Electronics,EE 333,"F1,F2",,"I1,K1,I2,M1",4
HSS Elective,HS XXX,,,,4
Comprehensive Viva Voce,IN 105,,,,0
Electrical Systems Laboratory,EE 431,,,"K2,L2",2
Digital Signal Processing,EE 411,"E1,E2",H1,,4
HSS Elective (choose from list below),HS XXX,,,,0
Comprehensive Viva Voce,IN 107,,,,0
Economics,HS 151,"C1,C2",,N1,4
Undergraduate Science Laboratory,BS 192,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2",3
Control Systems,ES 245,"E1,E2",G1,,4
